year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2009,Beatrice P.D.,Gage,17,5,3,7,0,2,,,,,"12,793",1.7,
2009,Bellevue P.D.,Sarpy,93,5,5,12,0,7,7,,3,2,"50,311",1.9,
2009,Blair P.D.,Washington,17,0,0,2,2,0,,,,,"7,820",2.2,
2009,Chadron P.D.,Dawes,12,2,1,4,0,5,,,,,"5,409",2.6,
2009,Columbus P.D.,Platte,33,3,2,13,0,0,1,,1,,"21,652",1.7,
2009,Crete P.D.,Saline,9,2,1,5,0,1,,,,,"6,258",1.8,3
2009,Fremont P.D.,Dodge,39,2,1,9,4,7,,,,,"25,220",1.6,4
2009,Gering P.D.,Scotts Bluff,14,1,0,3,0,2,,,,1,"7,672",2,
2009,Grand Island P.D.,Hall,70,5,1,10,0,10,,,,,"46,083",1.6,
2009,Hastings P.D.,Adams,31,5,1,13,0,2,3,,,,"25,476",1.4,2
2009,Holdrege P.D.,Phelps,10,0,1,5,0,0,,,,,"5,122",2,
2009,Kearney P.D.,Buffalo,49,3,5,8,0,1,,,,,"30,759",1.7,
2009,LaVista P.D.,Sarpy,30,3,0,4,0,1,,,,,"17,293",1.9,
2009,Lexington P.D.,Dawson,12,1,0,2,0,0,3,,,,"10,138",1.3,
2009,Lincoln P.D.,Lancaster,270,49,28,67,0,12,2,,4,,"254,438",1.3,
2009,McCook P.D.,Red Willow,16,0,0,4,0,2,,,,,"7,377",2.2,
2009,Nebraska City P.D.,Otoe,12,2,0,1,0,0,,,,,"7,011",2,
2009,Norfolk P.D.,Madison,36,2,3,15,0,0,,,2,,"22,892",1.7,
2009,North Platte P.D.,Lincoln,42,0,5,20,0,1,,,,,"24,127",1.7,
2009,Omaha P.D.,Douglas,624,145,35,109,42,24,71,,35,,"443,037",1.7,
2009,Papillion P.D.,Sarpy,33,6,1,3,0,1,,,,,"24,390",1.6,
2009,Plattsmouth P.D.,Cass,15,0,0,2,0,0,1,,,,"6,902",2.2,4
2009,Ralston P.D.,Sarpy,11,0,0,2,0,0,2,,,,"6,077",1.8,
2009,Schuyler P.D.,Colfax,6,2,0,2,0,0,1,,,,"5,136",1.6,
2009,Scottsbluff P.D.,Scotts Bluff,28,2,1,4,0,0,2,,,,"14,773",2,
2009,Seward P.D.,Seward,9,0,1,1,4,0,2,,,,"6,883",1.3,
2009,Sidney P.D.,Cheyenne,13,0,0,2,0,1,1,,,,"6,514",2,
2009,Wayne P.D.,Wayne,8,1,3,3,1,1,,,,,"5,268",1.7,
2009,York P.D.,York,14,0,1,5,0,0,,,,,"7,847",1.8,
