County,Agency,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Custer,Broken Bow P.D.,63,64,110,106,71,83,86,74,96,87,123,84,88,62,86,58,88,1429
Custer,Nebraska State Patrol,0,1,0,6,5,7,4,7,3,5,2,4,0,2,0,1,1,48
Dakota,Dakota CO. S.O.,132,102,128,95,94,79,76,74,60,124,69,97,64,80,101,95,107,1577
Dakota,South Sioux City P.D.,519,495,577,433,413,408,414,313,359,423,406,491,483,338,594,540,700,7906
Dakota,Emerson P.D.,0,0,0,12,10,0,7,19,2,6,0,0,9,0,0,0,0,65
Dakota,Nebraska State Patrol,3,0,2,2,3,1,3,2,4,4,3,0,0,0,0,0,0,27
Dawes,Dawes CO. S.O.,40,25,24,13,16,10,14,10,20,15,24,30,20,20,23,10,16,330
Dawes,Chadron P.D.,135,85,198,172,160,157,118,195,313,238,271,215,248,309,188,227,190,3419
Dawes,Nebraska State Patrol,7,0,0,8,10,11,2,2,2,0,6,4,0,0,1,0,3,56
Dawson,Dawson CO. S.O.,225,224,236,190,146,143,123,124,144,165,151,123,129,111,89,110,93,2526
Dawson,Cozad P.D.,174,195,223,186,132,192,163,125,144,114,92,68,85,62,94,95,73,2217
Dawson,Gothenburg P.D.,169,145,119,147,144,140,78,73,79,90,101,65,92,109,87,88,80,1806
Dawson,Lexington P.D.,510,579,536,536,621,652,599,607,648,599,534,508,459,439,422,396,340,8985
Dawson,Nebraska State Patrol,5,5,0,4,4,3,0,4,1,2,5,0,3,1,1,2,2,42
Deuel,Deuel CO. S.O.,44,47,51,48,26,46,43,42,43,38,22,20,36,27,15,19,0,567
Deuel,Nebraska State Patrol,1,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,8
Dixon,Dixon CO. S.O.,93,85,119,86,81,83,109,102,95,75,83,96,109,83,98,96,77,1570
Dixon,Nebraska State Patrol,2,2,3,1,1,0,0,1,0,2,0,0,0,0,0,0,0,12
Dodge,Dodge CO. S.O.,222,166,239,226,217,213,175,205,199,177,205,181,186,147,166,139,128,3191
Dodge,Fremont P.D.,1020,983,1204,1130,1142,1211,1045,1103,1354,1286,1273,1142,1067,1103,1018,1024,1026,19131
Dodge,Scribner P.D.,0,0,0,13,13,14,16,3,5,3,3,8,0,9,4,6,7,104
Dodge,Nebraska State Patrol,4,4,0,4,1,3,0,0,0,2,0,1,3,0,1,0,1,24
Douglas,Douglas CO. S.O.,1384,1607,1804,1816,1648,1604,1947,1833,1543,1584,1512,1519,1559,1381,1465,1012,1051,26269
Douglas,Omaha P.D.,33391,36133,34598,32472,29977,29191,28835,27778,26023,25017,23719,25255,25663,25570,25706,23942,26133,479403
Douglas,Elkhorn P.D.,93,109,187,173,168,140,145,0,0,0,0,0,0,0,0,0,0,1015
Douglas,Ralston P.D.,260,277,276,314,249,261,275,232,266,213,203,229,304,310,298,246,305,4518
Douglas,Valley P.D.,78,86,80,78,86,56,88,96,49,58,52,83,83,64,60,66,70,1233
Douglas,Bennington P.D.,0,0,0,0,0,0,20,15,20,17,12,20,12,28,12,12,20,188
Douglas,Waterloo P.D.,0,0,10,21,12,6,0,2,0,0,0,0,0,0,0,0,0,51
Douglas,Metro. Comm. College . Douglas Co.,0,0,0,0,0,0,0,0,0,0,0,60,50,48,47,30,37,272
Douglas,Nebraska State Patrol,19,6,6,8,3,8,2,9,2,5,8,8,3,11,11,2,9,120
Dundy,Dundy CO. S.O.,34,24,21,28,21,0,0,0,0,0,0,0,0,0,0,37,11,176
Dundy,Nebraska State Patrol,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,4
Fillmore,Fillmore CO. S.O.,90,71,98,46,42,4,0,1,0,0,0,0,0,0,0,61,20,433
Fillmore,Geneva P.D.,17,30,22,18,7,0,0,0,0,0,0,0,0,0,0,0,0,94
Fillmore,Nebraska State Patrol,4,1,1,3,1,2,1,0,0,0,0,0,1,0,1,0,2,17
Franklin,Franklin CO. S.O.,48,41,42,22,25,31,25,33,24,23,14,9,17,19,15,20,9,417
Franklin,Nebraska State Patrol,1,0,0,3,0,0,0,0,1,0,0,1,3,2,0,0,0,11
Frontier,Frontier CO. S.O.,87,78,48,70,41,58,55,44,40,0,0,0,0,0,0,0,0,521
Frontier,Nebraska State Patrol,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,1,1,9
Furnas,Furnas CO. S.O.,101,90,121,75,71,54,42,40,46,13,0,0,0,0,4,93,103,853
Furnas,Nebraska State Patrol,1,1,0,1,0,0,0,0,0,1,0,1,6,1,4,1,1,18
Gage,Gage CO. S.O.,75,151,168,218,229,244,208,285,199,223,165,191,162,144,189,137,194,3182
Gage,Beatrice P.D.,643,777,1049,807,1001,983,876,768,796,717,712,677,641,579,607,528,492,12653
Gage,Wymore P.D.,50,81,72,27,35,55,55,51,49,51,45,57,40,0,0,0,0,668
Gage,Nebraska State Patrol,0,0,0,1,3,0,2,1,0,4,0,1,1,1,0,1,1,16
Garden,Garden CO. S.O.,43,32,42,23,23,11,16,1,0,0,0,3,0,0,0,0,0,194
Garden,Nebraska State Patrol,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,9
Garfield,Garfield CO. S.O.,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6
Garfield,Nebraska State Patrol,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4
Gosper,Gosper CO. S.O.,27,31,35,37,25,55,27,59,22,21,0,7,40,16,21,26,18,467
Gosper,Nebraska State Patrol,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Grant,Grant CO. S.O.,20,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Grant,Nebraska State Patrol,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,3,0,7
Greeley,Greeley CO. S.O.,34,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
Greeley,Nebraska State Patrol,4,1,0,1,0,0,0,3,2,0,3,0,0,0,0,1,0,15
Hall,Hall CO. S.O.,447,501,440,451,397,422,366,335,325,298,312,297,302,297,299,232,225,5946
Hall,Grand Island P.D.,3801,3746,3548,3559,3382,3306,3138,2919,3082,3170,3015,3149,3059,3013,2929,2213,2522,53551
Hall,Nebraska State Patrol,47,40,2,15,14,20,5,10,12,19,29,5,12,13,11,7,10,271
Hamilton,Hamilton CO. S.O.,101,92,71,90,87,79,72,61,65,66,43,85,103,70,48,51,64,1248
Hamilton,Aurora P.D.,189,127,120,157,137,109,119,81,70,68,61,71,81,55,58,67,78,1648
Hamilton,Nebraska State Patrol,4,9,2,4,7,4,3,1,1,0,0,0,3,0,0,2,1,41
Harlan,Harlan CO. S.O.,0,21,5,2,4,4,1,4,15,8,0,0,1,0,0,0,0,65
Harlan,Nebraska State Patrol,1,0,0,6,0,0,0,3,1,3,2,3,0,0,1,0,1,21
Hayes,Hayes CO. S.O.,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,10,29
Hayes,Nebraska State Patrol,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6
Hitchcock,Hitchcock CO. S.O.,20,3,11,9,7,13,9,11,10,12,27,30,28,31,31,19,26,297
Hitchcock,Nebraska State Patrol,0,0,0,1,0,2,0,2,1,2,2,1,1,2,0,0,2,16
Holt,Holt CO. S.O.,80,91,87,68,19,0,0,25,1,0,0,0,33,15,18,12,22,471
Holt,O Neill P.D.,84,95,90,91,68,84,67,39,30,35,29,36,43,33,27,29,33,913
Holt,Nebraska State Patrol,6,3,0,1,2,7,1,1,0,0,1,0,0,0,0,0,2,24
Hooker,Hooker CO. S.O.,0,0,3,6,0,2,0,1,0,0,0,0,0,0,0,2,2,16
Hooker,Nebraska State Patrol,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
Howard,Howard CO. S.O.,244,191,142,117,77,87,35,20,0,0,0,0,0,0,0,0,0,913
Howard,St. Paul P.D.,0,0,0,1,47,32,32,25,7,10,10,8,0,0,0,0,0,172
Howard,Nebraska State Patrol,0,1,0,2,2,2,0,3,2,6,3,2,1,2,0,0,1,27
Jefferson,Jefferson CO. S.O.,72,70,106,122,108,78,88,95,111,89,128,111,91,80,43,15,0,1407
Jefferson,Fairbury P.D.,169,189,246,256,272,287,340,309,62,0,0,0,0,0,1,276,218,2625
Jefferson,Nebraska State Patrol,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,6
Johnson,Johnson CO. S.O.,48,40,41,49,11,1,10,0,0,0,38,52,60,78,44,53,33,558
Johnson,Tecumseh P.D.,2,14,13,58,47,63,37,34,27,34,1,0,0,0,0,0,0,330
Johnson,Nebraska State Patrol,2,1,0,5,1,1,1,0,0,0,1,1,0,0,0,0,0,13
Kearney,Kearney CO. S.O.,85,85,115,76,79,67,59,75,88,85,76,66,124,57,64,75,55,1331
Kearney,Minden P.D.,107,111,94,86,78,86,90,117,97,78,93,49,139,91,95,85,84,1580
Kearney,Nebraska State Patrol,0,2,0,0,1,0,0,1,2,1,3,0,0,0,0,1,1,12
Keith,Keith CO. S.O.,74,63,76,58,93,104,90,69,88,70,62,66,46,44,34,51,32,1120
Keith,Ogallala P.D.,166,226,191,347,338,302,310,299,279,218,222,255,202,203,215,259,266,4298
Keith,Nebraska State Patrol,2,1,5,3,3,4,0,1,4,1,2,2,2,0,1,3,3,37
Keya Paha,Keya Paha CO. S.O.,1,0,0,1,0,0,1,9,13,1,0,1,0,2,2,8,1,40
Keya Paha,Nebraska State Patrol,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Kimball,Kimball CO. S.O.,32,21,29,10,23,24,19,23,20,23,16,11,34,15,21,27,16,364
Kimball,Kimball P.D.,76,13,0,0,0,0,0,1,0,0,25,31,37,50,42,13,15,303
Kimball,Nebraska State Patrol,2,0,0,3,4,4,3,2,0,2,2,1,0,0,0,0,3,26
Knox,Knox CO. S.O.,75,64,83,93,64,76,40,38,52,31,32,35,35,23,35,38,33,847
Knox,Nebraska State Patrol,4,8,0,0,1,0,0,0,0,1,0,3,1,0,0,2,2,22
Lancaster,Lancaster CO. S.O.,676,557,630,613,635,530,576,472,448,361,353,364,474,413,303,259,275,7939
Lancaster,Lincoln P.D.,17079,18350,18178,17687,17509,17542,17028,16625,14980,14746,15314,15091,15469,14439,13722,13799,13255,270813
Lancaster,University of Nebraska-Lincoln P.D.,527,659,454,390,465,405,428,373,367,244,317,273,271,247,220,181,218,6039
Lancaster,Nebraska State Patrol,37,34,8,24,7,15,16,7,13,17,7,3,6,8,9,10,4,225
Lincoln,Lincoln CO. S.O.,220,211,221,174,148,185,177,203,241,122,225,172,196,185,160,153,175,3168
