County,Agency,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Washington,Nebraska State Patrol,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Wayne,Wayne CO. S.O.,25,39,46,26,9,36,18,18,24,30,18,35,35,27,32,28,18,464
Wayne,Wayne P.D.,112,193,134,179,168,150,166,173,140,121,145,0,0,0,0,0,0,1681
Wayne,Nebraska State Patrol,1,0,0,5,10,4,0,1,0,0,2,0,0,6,2,3,2,36
Webster,Webster CO. S.O.,75,69,77,41,63,71,27,30,38,54,57,46,45,45,37,38,23,836
Webster,Nebraska State Patrol,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,1,1,7
Wheeler,Wheeler CO. S.O.,18,15,2,3,10,5,7,2,7,4,5,6,3,9,1,2,3,102
Wheeler,Nebraska State Patrol,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
York,York CO. S.O.,96,130,97,73,91,97,83,68,73,46,43,66,79,65,55,39,43,1244
York,York P.D.,333,331,223,213,218,253,246,303,270,253,255,259,261,253,269,197,250,4387
York,Nebraska State Patrol,1,5,1,2,0,1,0,1,0,2,1,3,0,2,0,2,2,23
