year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so,total_crime
2009,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,5122,2,,188
2009,Kearney PD,Buffalo,49,3,5,8,0,1,,,,,30759,1.7,,1502
2009,LaVista PD,Sarpy,30,3,0,4,0,1,,,,,17293,1.9,,508
2009,Lexington PD,Dawson,12,1,0,2,0,0,3,,,,10138,1.3,,599
2009,Lincoln PD,Lancaster,270,49,28,67,0,12,2,,4,,254438,1.3,,14746
2009,McCook PD,Red Willow,16,0,0,4,0,2,,,,,7377,2.2,,322
2009,Nebraska City PD,Otoe,12,2,0,1,0,0,,,,,7011,2,,321
2009,Norfolk PD,Madison,36,2,3,15,0,0,,,2,,22892,1.7,,1049
2009,North Platte PD,Lincoln,42,0,5,20,0,1,,,,,24127,1.7,,1569
2009,Omaha PD,Douglas,624,145,35,109,42,24,71,,35,,443037,1.7,,25017
2009,Papillion PD,Sarpy,33,6,1,3,0,1,,,,,24390,1.6,,641
2009,Plattsmouth PD,Cass,15,0,0,2,0,0,1,,,,6902,2.2,4,48
2009,Ralston PD,Sarpy,11,0,0,2,0,0,2,,,,6077,1.8,,213
2009,Schuyler PD,Colfax,6,2,0,2,0,0,1,,,,5136,1.6,,0
2009,Scottsbluff PD,Scotts Bluff,28,2,1,4,0,0,2,,,,14773,2,,1049
2009,Seward PD,Seward,9,0,1,1,4,0,2,,,,6883,1.3,,154
2009,Sidney PD,Cheyenne,13,0,0,2,0,1,1,,,,6514,2,,127
2009,Wayne PD,Wayne,8,1,3,3,1,1,,,,,5268,1.7,,121
2009,York PD,York,14,0,1,5,0,0,,,,,7847,1.8,,253
2010,Alliance PD,Box Butte,16,1,0,7,0,2,1,,,,8491,2,,296
2010,Beatrice PD,Gage,17,4,4,6,0,1,,,,,12459,1.7,,712
2010,Bellevue PD,Sarpy,94,7,5,13,0,7,4,,1,1,50137,2,,2267
2010,Blair PD,Washington,17,0,0,2,2,0,,,,,7990,2.1,,219
2010,Chadron PD,Dawes,13,1,3,3,0,5,,,,,5851,2.4,,271
2010,Columbus PD,Platte,30,3,2,13,0,0,2,,1,,22111,1.5,,683
2010,Crete PD,Saline,8,2,1,5,2,1,1,,,,6960,1.4,2,254
2010,Fremont PD,Dodge,37,2,1,9,5,6,2,,,,26397,1.5,5,1273
2010,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,8500,1.8,,255
2010,Grand Island PD,Hall,66,6,1,9,0,7,5,,,,48520,1.5,,3015
2010,Hastings PD,Adams,32,4,0,12,0,4,2,,,,24907,1.4,2,1235
2010,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,5495,1.8,,213
2010,Kearney PD,Buffalo,48,4,5,9,0,0,1,,,,30787,1.7,,1348
2010,LaVista PD,Sarpy,30,3,0,3,0,1,,,1,,15758,2.1,,406
2010,Lexington PD,Dawson,15,1,0,2,0,0,1,,,,10230,1.6,,534
2010,Lincoln PD,Lancaster,278,47,18,67,0,9,,,1,,258379,1.3,,15314
2010,McCook PD,Red Willow,16,0,0,4,1,1,,,1,2,7698,2.1,,295
2010,Nebraska City PD,Otoe,14,1,0,1,0,0,,,,,7289,2.1,,260
2010,Norfolk PD,Madison,37,2,2,13,0,1,,,,,24210,1.6,,1070
2010,North Platte PD,Lincoln,41,0,5,20,0,1,1,,,,24733,1.7,,2198
