year,department,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2008,Lexington P.D.,15,1,0,2,0,0,,,,,"10,172",1.6,
2008,Lincoln P.D.,265,49,25,75,0,7,3,,,,"251,550",1.2,
2008,McCook P.D.,16,0,0,4,1,2,,,,,"7,401",2.2,
2008,Nebraska City P.D.,12,3,0,1,0,0,,,,,"7,049",2.1,
2008,Norfolk P.D.,34,3,1,15,0,0,3,,1,,"23,096",1.6,
2008,North Platte P.D.,42,0,5,20,0,1,,,,,"24,098",1.7,
2008,Omaha P.D.,601,147,35,110,43,21,78,,51,,"437,238",1.7,
2008,Papillion P.D.,32,6,1,3,0,1,,,,,"22,833",1.7,
2008,Plattsmouth P.D.,15,0,0,2,0,0,,,,,"6,932",2.2,5
2008,Ralston P.D.,13,0,0,2,0,0,,,,,"6,087",2.1,
2008,Schuyler P.D.,6,1,0,2,0,0,1,,,,"5,111",1.4,
2008,Scottsbluff P.D.,28,1,1,4,0,8,3,,,,"14,667",2,
2008,Seward P.D.,11,0,1,1,0,0,,,,,"6,759",1.6,
2008,Sidney P.D.,14,0,0,2,0,1,,,,,"6,492",2.2,
2008,So. Sioux City P.D.,27,1,0,1,0,1,,,,,"12,005",2.3,
2008,Wayne P.D.,8,1,1,4,1,1,,,,,"5,257",1.7,
2008,York P.D.,14,0,1,5,0,0,,,,,"7,884",1.8,
2009,Alliance P.D.,15,2,0,7,0,2,1,,,,"8,024",2.1,
2009,Beatrice P.D.,17,5,3,7,0,2,,,,,"12,793",1.7,
2009,Bellevue P.D.,93,5,5,12,0,7,7,,3,2,"50,311",1.9,
2009,Blair P.D.,17,0,0,2,2,0,,,,,"7,820",2.2,
2009,Chadron P.D.,12,2,1,4,0,5,,,,,"5,409",2.6,
2009,Columbus P.D.,33,3,2,13,0,0,1,,1,,"21,652",1.7,
2009,Crete P.D.,9,2,1,5,0,1,,,,,"6,258",1.8,3
2009,Fremont P.D.,39,2,1,9,4,7,,,,,"25,220",1.6,4
2009,Gering P.D.,14,1,0,3,0,2,,,,1,"7,672",2,
2009,Grand Island P.D.,70,5,1,10,0,10,,,,,"46,083",1.6,
2009,Hastings P.D.,31,5,1,13,0,2,3,,,,"25,476",1.4,2
2009,Holdrege P.D.,10,0,1,5,0,0,,,,,"5,122",2,
2009,Kearney P.D.,49,3,5,8,0,1,,,,,"30,759",1.7,
2009,LaVista P.D.,30,3,0,4,0,1,,,,,"17,293",1.9,
2009,Lexington P.D.,12,1,0,2,0,0,3,,,,"10,138",1.3,
2009,Lincoln P.D.,270,49,28,67,0,12,2,,4,,"254,438",1.3,
2009,McCook P.D.,16,0,0,4,0,2,,,,,"7,377",2.2,
2009,Nebraska City P.D.,12,2,0,1,0,0,,,,,"7,011",2,
2009,Norfolk P.D.,36,2,3,15,0,0,,,2,,"22,892",1.7,
2009,North Platte P.D.,42,0,5,20,0,1,,,,,"24,127",1.7,
2009,Omaha P.D.,624,145,35,109,42,24,71,,35,,"443,037",1.7,
2009,Papillion P.D.,33,6,1,3,0,1,,,,,"24,390",1.6,
2009,Plattsmouth P.D.,15,0,0,2,0,0,1,,,,"6,902",2.2,4
2009,Ralston P.D.,11,0,0,2,0,0,2,,,,"6,077",1.8,
2009,Schuyler P.D.,6,2,0,2,0,0,1,,,,"5,136",1.6,
